releaseid,releasename,institutionid,departmentid,taxonomylevel01id,institutionname,departmentname,numfac,taxonomylevel01name,ranknumfac,facthreshold,totpubs,rankjpubs,hasjpub,rankhasjpub,jppauth,rjppauth,totcits,rankcits,hascit,rankhascits,pauthcit,rpauthci,hasgrnt,rankhasgrant,totgno,ranknumgrnts,totgdol,rankgrntdols,totawds,rankawds,hasawd,rankhasawd,totbooks,rankbooks,hasbook,rankhasbook,awdwt,grntwt,bookswt,citswt,pubswt,pfacbp,b1,rb1,pb1,BPA,bppfac,b2,rb2,pb2,pfacjp,p1,rp1,pp1,jppfac,p2,rp2,pp2,pfacc,p3,rp3,pp3,cpfac,p4,rp4,pp4,cpp,p5,rp5,pp5,pfacgrnt,g1,rg1,pg1,gpfac,g2,rg2,pg2,gdpfac,g3,rg3,pg3,dolpgrnt,g4,rg4,pg4,awdpfac,a1,ra1,pa1,pfacawd,a2,ra2,pa2,meanrnk,CustIndex,RankCustIndex,pfsp,campusrank,general,zscore_hasawd,zscore_hasbook,zscore_hascit,zscore_hasgrnt,zscore_hasjpub,zscore_jppauth,zscore_pauthcit,zscore_totawds,zscore_totbooks,zscore_totcits,zscore_totgdol,zscore_totgno,zscore_totpubs,zscore_numfac,pct_hasawd,pct_hasbook,pct_hascit,pct_hasgrnt,pct_hasjpub,pct_jppauth,pct_pauthcit,pct_totawds,pct_totbooks,pct_totcits,pct_totgdol,pct_totgno,pct_totpubs,pct_numfac,departmentsindiscipline,createddate,totconfproc,hasconfproc,perauthorconfproc,perfacultyconfproc,pctfacultyconfproc,rank_hasconfproc,rank_perauthorconfproc,rank_totconfproc,rank_perfacultyconfproc,rank_pctfacultyconfproc,zscore_hasconfproc,zscore_perauthorconfproc,zscore_totconfproc,zscore_perfacultyconfproc,zscore_pctfacultyconfproc,pct_hasconfproc,pct_perauthorconfproc,pct_totconfproc,pct_perfacultyconfproc,pct_pctfacultyconfproc,confprocwt
45B1BD4E01B2,Stony Brook AAU,251,1670,58,"University of California, Berkeley","Economics, Department of",48,"Economics, General",7.5,0,319,4,46,4,6.93,9,4205,3,45,4.5,0.96,30,24,5,39,6.5,3396498,8,79,5,35,6,86,4,20,4,10,2.5,7.97,9.01,13.51,0.42,1.29,9,88.41,4.3,1.79,1.9,4,95.65,0.96,1.15,7.5,91.3,6.65,1.24,8,89.86,0.94,1.07,8.5,89.86,87.6,1.6,5,94.2,10.62,1.5,6,92.75,0.5,1.45,9,89.86,0.81,0.98,11,85.51,70760.38,0.31,16,78.26,87089.69,-0.21,33,53.62,1.65,1.53,7,91.3,0.73,1.51,7,91.3,8.01,1.8,4.5,97.1,0,0,1.85,1.95,1.63,1.92,1.61,0.93,0.31,1.93,2.42,2.13,0.87,1.73,2.11,1.34,92.75,95.65,95.65,94.2,95.65,88.41,57.97,94.2,95.65,97.1,89.86,92.75,95.65,91.3,68,3/7/15 10:55,1,1,1,0.02,0.02,30.5,29.5,34,42,42,-0.04,-0.1,-0.31,-0.23,-0.33,73.91,76.81,63.77,40.58,40.58,0
45B1BD4E01B2,Stony Brook AAU,256,1881,58,"University of California, San Diego","Economics, Department of",38,"Economics, General",19,0,198,15,38,13,5.21,27,2153,13,37,13,0.97,23,13,16,21,16.5,1407774,24,32,14,25,12,29,19,11,19,10,2.5,7.97,9.01,13.51,0.29,0.23,23,68.12,2.636363636,0.76,0.01,25,65.22,1,1.55,1.5,100,5.21,0.42,15,79.71,0.97,1.38,4,95.65,56.66,0.57,11,85.51,8.93,0.88,14,81.16,0.34,0.58,20,72.46,0.55,0.3,21,71.01,37046.68,-0.23,32,55.07,67036.86,-0.45,44,37.68,0.84,0.33,13,82.61,0.66,1.22,10,86.96,13.89,1.4,8.5,89.86,0,0,1.03,0.44,0.99,0.6,0.98,-0.04,0.55,0.32,0.16,0.62,-0.1,0.47,0.71,0.6,84.06,76.81,82.61,79.71,82.61,62.32,68.12,81.16,73.91,82.61,66.67,78.26,79.71,73.91,68,3/7/15 10:55,2,1,2,0.05,0.03,30.5,9.5,20,24,38,-0.04,0.46,0.01,-0.1,-0.21,73.91,91.3,79.71,66.67,46.38,0
45B1BD4E01B2,Stony Brook AAU,263,30366,58,University of Colorado Boulder,Renewable & Sustainable Energy Institute (RASEI),7,"Economics, General",68,0,92,44,6,68,15.33,1,1101,24,6,67,1,9,5,33.5,15,23,2796002,14,3,54.5,2,57,2,67,1,66.5,10,2.5,7.97,9.01,13.51,0.14,-0.99,56,20.29,2,0.29,-0.86,57,18.84,0.86,0.19,33,55.07,13.14,4.99,1,100,0.86,0.39,24,68.12,157.29,3.91,1,100,9.74,1.18,9,88.41,0.71,2.63,1,100,2.14,4.5,1,100,399428.86,5.53,1,100,186400.13,0.96,9,88.41,0.43,-0.28,33,53.62,0.29,-0.26,34,52.17,23.67,0.7,18,75.36,0,0,-0.86,-1.23,-1.51,-0.37,-1.53,5.63,0.94,-0.67,-0.9,-0.15,0.58,0.05,-0.52,-1.7,24.64,7.25,4.35,55.07,2.9,100,100,24.64,5.8,66.67,81.16,71.01,37.68,2.9,68,3/7/15 10:55,14,2,7,2,0.29,13,3,1.5,1,1,0.83,3.24,3.9,7.94,5.61,89.86,97.1,100,100,100,0
45B1BD4E01B2,Stony Brook AAU,132,6320,58,Michigan State University,"Economics, Department of",45,"Economics, General",10.5,0,150,23.5,36,16,4.17,51,1160,23,33,17.5,0.89,53,2,52,2,58.5,64935,60,8,41.5,7,37,25,24,12,16,10,2.5,7.97,9.01,13.51,0.27,0.04,29.5,59.42,2.083333333,0.56,-0.37,36,49.28,0.8,-0.36,49.5,30.43,3.33,-0.66,53,24.64,0.73,-0.67,55,21.74,25.78,-0.45,42,40.58,6.52,0,29,59.42,0.04,-1.05,60,14.49,0.04,-1.04,61,13.04,1443,-0.79,61,13.04,32467.5,-0.85,61,13.04,0.18,-0.65,54,23.19,0.16,-0.78,50,28.99,46.9,-0.8,50.5,28.99,0,0,-0.45,0.61,0.66,-0.73,0.82,-0.63,-0.67,-0.5,0.01,-0.11,-0.75,-0.86,0.15,1.12,50.72,78.26,76.81,33.33,78.26,27.54,24.64,43.48,68.12,68.12,14.49,20.29,68.12,86.96,68,3/7/15 10:55,0,0,0,0,0,55.5,55.5,55.5,55.5,55.5,-0.9,-0.65,-0.63,-0.32,-0.8,39.13,39.13,39.13,39.13,39.13,0
45B1BD4E01B2,Stony Brook AAU,156,10447,58,"Ohio State University, The","Economics, Department of",33,"Economics, General",26,0,114,32.5,24,32,4.75,40,926,31,23,32.5,0.92,46,10,20.5,21,16.5,2379288,18,8,41.5,6,41,3,63.5,3,56,10,2.5,7.97,9.01,13.51,0.09,-1.43,65.5,7.25,1,0.09,-1.22,67,4.35,0.73,-1.05,60.5,14.49,3.45,-0.59,48,31.88,0.7,-0.98,60,14.49,28.06,-0.38,38,46.38,6.48,-0.02,31,56.52,0.3,0.37,22,69.57,0.64,0.52,18,75.36,72099.64,0.33,15,79.71,113299.43,0.1,21,71.01,0.24,-0.56,50,28.99,0.18,-0.67,47,33.33,48.45,-1,56,23.19,0,0,-0.53,-0.9,-0.14,0.23,-0.12,-0.3,-0.25,-0.5,-0.86,-0.28,0.37,0.47,-0.26,0.23,43.48,24.64,59.42,73.91,57.97,43.48,36.23,43.48,11.59,56.52,75.36,78.26,55.07,65.22,68,3/7/15 10:55,1,1,1,0.03,0.03,30.5,29.5,34,40.5,34,-0.04,-0.1,-0.31,-0.19,-0.12,73.91,76.81,63.77,43.48,53.62,0
45B1BD4E01B2,Stony Brook AAU,172,793,58,Rice University,"Economics, Department of",18,"Economics, General",53.5,0,59,58.5,13,58,4.54,47,213,64,12,59,0.92,43.5,4,37,6,42,619344,43,2,60,1,63.5,6,57.5,3,56,10,2.5,7.97,9.01,13.51,0.17,-0.79,54,23.19,2,0.33,-0.77,54,23.19,0.72,-1.1,62,11.59,3.28,-0.7,56,20.29,0.67,-1.23,64,10.14,11.83,-0.91,65,7.25,3.13,-1.25,65,7.25,0.22,-0.07,30,57.97,0.33,-0.28,35.5,52.17,34408,-0.27,37,47.83,103224,-0.02,24,66.67,0.11,-0.75,59.5,15.94,0.06,-1.18,64,8.7,57.55,-1.6,67,5.8,0,0,-0.94,-0.9,-1.03,-0.49,-0.98,-0.42,-0.2,-0.7,-0.74,-0.81,-0.48,-0.58,-0.9,-0.89,11.59,24.64,17.39,49.28,18.84,33.33,39.13,18.84,18.84,8.7,39.13,43.48,17.39,26.09,68,3/7/15 10:55,3,2,1.5,0.17,0.11,13,14,13,6,4,0.83,0.18,0.34,0.37,1.69,89.86,81.16,84.06,92.75,95.65,0
45B1BD4E01B2,Stony Brook AAU,204,1001,58,"University at Buffalo, State University of New York","Economics, Department of",14,"Economics, General",62.5,0,18,68,7,67,2.57,68,25,68,4,68,0.57,68,2,52,2,58.5,179084,56,1,64.5,1,63.5,12,41,4,50.5,10,2.5,7.97,9.01,13.51,0.29,0.2,24.5,66.67,3,0.86,0.19,21.5,71.01,0.5,-3.22,67.5,4.35,1.29,-1.84,68,2.9,0.29,-4.48,68,2.9,1.79,-1.25,68,2.9,1.32,-1.92,68,2.9,0.14,-0.51,39.5,44.93,0.14,-0.78,54,23.19,12791.71,-0.61,51,27.54,89542,-0.18,32,55.07,0.07,-0.81,64,8.7,0.07,-1.11,62,11.59,57.37,-1.6,67,5.8,0,0,-0.94,-0.73,-1.67,-0.73,-1.45,-1.52,-5.44,-0.74,-0.51,-0.95,-0.69,-0.86,-1.38,-1.18,11.59,30.43,2.9,33.33,4.35,2.9,2.9,8.7,44.93,2.9,20.29,20.29,2.9,11.59,68,3/7/15 10:55,0,0,0,0,0,55.5,55.5,55.5,55.5,55.5,-0.9,-0.65,-0.63,-0.32,-0.8,39.13,39.13,39.13,39.13,39.13,0
45B1BD4E01B2,Stony Brook AAU,238,7037,58,Tulane University,"Economics, Department of",16,"Economics, General",60.5,0,76,51,14,54.5,5.43,22.5,380,54,12,59,0.86,62,2,52,2,58.5,192371,55,6,48.5,2,57,28,20.5,6,38.5,10,2.5,7.97,9.01,13.51,0.38,0.94,12,84.06,4.666666667,1.75,1.82,6,92.75,0.88,0.36,29,59.42,4.75,0.15,23.5,68.12,0.75,-0.52,50.5,28.99,23.75,-0.52,43,39.13,4,-0.93,59,15.94,0.13,-0.61,43.5,39.13,0.13,-0.83,55.5,21.74,12023.19,-0.62,54,23.19,96185.5,-0.1,27,62.32,0.38,-0.36,36.5,49.28,0.13,-0.9,54,23.19,35.82,-0.1,35.5,50.72,0,0,-0.86,-0.39,-1.03,-0.73,-0.9,0.08,-1.18,-0.57,0.12,-0.69,-0.69,-0.86,-0.7,-1.04,24.64,52.17,17.39,33.33,24.64,69.57,11.59,31.88,72.46,23.19,21.74,20.29,27.54,14.49,68,3/7/15 10:55,0,0,0,0,0,55.5,55.5,55.5,55.5,55.5,-0.9,-0.65,-0.63,-0.32,-0.8,39.13,39.13,39.13,39.13,39.13,0
45B1BD4E01B2,Stony Brook AAU,253,4644,58,"University of California, Irvine","Economics, Department of",35,"Economics, General",23,0,225,12,31,21,7.26,8,1873,16,30,22,0.94,41,4,37,7,38,1245013,29,28,16,14,24.5,42,13,16,10.5,10,2.5,7.97,9.01,13.51,0.46,1.63,7,91.3,2.625,1.2,0.81,13,82.61,0.89,0.46,26.5,63.77,6.43,1.12,9,88.41,0.86,0.39,24,68.12,53.51,0.47,15,79.71,6.46,-0.03,32,55.07,0.11,-0.67,47,33.33,0.2,-0.63,45.5,36.23,35571.8,-0.25,36,49.28,177859,0.86,10,86.96,0.8,0.27,17,76.81,0.4,0.19,25,65.22,20.45,1,13.5,82.61,0,0,0.13,1.28,0.42,-0.49,0.43,1.11,0.01,0.18,0.68,0.41,-0.18,-0.51,1.02,0.37,66.67,86.96,71.01,49.28,72.46,89.86,43.48,78.26,84.06,78.26,59.42,47.83,84.06,69.57,68,3/7/15 10:55,4,3,1.33,0.11,0.09,5,15,10,10,6,1.69,0.09,0.66,0.15,1.12,97.1,79.71,88.41,86.96,92.75,0
45B1BD4E01B2,Stony Brook AAU,261,4719,58,"University of Chicago, The","Economics, Department of",23,"Economics, General",45,0,155,20.5,20,41.5,7.75,5,1902,14,22,38,1,9,10,20.5,24,14,3687624,5,75,6.5,21,14.5,36,16,13,15,10,2.5,7.97,9.01,13.51,0.57,2.53,2,98.55,2.769230769,1.57,1.48,9,88.41,0.87,0.3,31,56.52,6.74,1.3,6,92.75,0.96,1.24,5,94.2,82.7,1.44,8,89.86,9.85,1.22,7,91.3,0.43,1.09,14,81.16,1.04,1.59,4,95.65,160331.48,1.73,3,97.1,153651,0.58,12,84.06,3.26,3.93,1,100,0.91,2.24,2,98.55,8.8,1.8,4.5,97.1,0,0,0.7,0.78,-0.22,0.23,-0.43,1.38,0.94,1.79,0.44,0.43,1.01,0.68,0.21,-0.52,81.16,79.71,47.83,73.91,42.03,94.2,100,92.75,78.26,81.16,94.2,81.16,72.46,37.68,68,3/7/15 10:55,1,1,1,0.04,0.04,30.5,29.5,34,29,20,-0.04,-0.1,-0.31,-0.14,0.18,73.91,76.81,63.77,59.42,72.46,0
45B1BD4E01B2,Stony Brook AAU,273,2139,58,University of Florida,"Economics, Department of",11,"Economics, General",65.5,0,49,61,10,62,4.9,36,101,67,8,64.5,0.8,67,0,66,0,66,0,66,0,67,0,67,7,55,3,56,10,2.5,7.97,9.01,13.51,0.27,0.09,27,62.32,2.333333333,0.64,-0.22,32,55.07,0.91,0.68,15.5,79.71,4.45,-0.02,28,60.87,0.73,-0.72,57.5,18.84,9.18,-1,67,4.35,1.8,-1.74,67,4.35,0,-1.3,66,8.7,0,-1.16,66,8.7,0,-0.81,66,8.7,0,-1.24,66,8.7,0,-0.92,67,5.8,0,-1.4,67,5.8,47.83,-0.9,52.5,26.09,0,0,-1.02,-0.9,-1.35,-0.97,-1.22,-0.21,-2.04,-0.77,-0.7,-0.89,-0.78,-1,-1.02,-1.41,5.8,24.64,10.14,8.7,11.59,49.28,4.35,5.8,23.19,4.35,8.7,8.7,13.04,7.25,68,3/7/15 10:55,0,0,0,0,0,55.5,55.5,55.5,55.5,55.5,-0.9,-0.65,-0.63,-0.32,-0.8,39.13,39.13,39.13,39.13,39.13,0
45B1BD4E01B2,Stony Brook AAU,281,2335,58,"University of Iowa, The","Economics, Department of",17,"Economics, General",57.5,0,104,40.5,14,54.5,7.43,6,703,40,13,56.5,0.87,61,2,52,6,42,1313348,27,2,60,2,57,8,52.5,3,56,10,2.5,7.97,9.01,13.51,0.18,-0.71,53,24.64,2.666666667,0.47,-0.52,41,42.03,0.82,-0.13,43,40.58,6.12,0.94,12,84.06,0.76,-0.4,47,33.33,41.35,0.07,23,68.12,5.67,-0.32,36,49.28,0.12,-0.65,45,36.23,0.35,-0.23,32,55.07,77255.76,0.41,14,81.16,218891.33,1.35,6,92.75,0.12,-0.74,58,17.39,0.12,-0.93,55,21.74,38.2,-0.3,39.5,44.93,0,0,-0.86,-0.9,-0.95,-0.73,-0.9,1.2,-1.04,-0.7,-0.66,-0.45,-0.14,-0.58,-0.38,-0.96,24.64,24.64,20.29,33.33,24.64,92.75,13.04,18.84,26.09,43.48,62.32,43.48,43.48,20.29,68,3/7/15 10:55,1,1,1,0.06,0.06,30.5,29.5,34,21,15,-0.04,-0.1,-0.31,-0.08,0.52,73.91,76.81,63.77,71.01,79.71,0
45B1BD4E01B2,Stony Brook AAU,301,5028,58,"University of Minnesota, Twin Cities","Economics, Department of",17,"Economics, General",57.5,0,87,46,14,54.5,6.21,14,921,32.5,15,52,1,9,10,20.5,20,18.5,1358905,26,10,34.5,10,29.5,2,67,1,66.5,10,2.5,7.97,9.01,13.51,0.06,-1.69,68,2.9,2,0.12,-1.17,66,5.8,0.82,-0.13,43,40.58,5.12,0.36,18,75.36,0.88,0.6,19,73.91,54.18,0.49,13,82.61,8.69,0.79,16,78.26,0.59,1.94,3,97.1,1.18,1.94,2,98.55,79935.59,0.45,12,84.06,67945.25,-0.44,43,39.13,0.59,-0.04,23,68.12,0.59,0.95,12,84.06,28.25,0.4,24,68.12,0,0,-0.2,-1.23,-0.79,0.23,-0.9,0.52,0.94,-0.43,-0.9,-0.29,-0.12,0.4,-0.58,-0.96,59.42,7.25,27.54,73.91,24.64,81.16,100,53.62,5.8,55.07,63.77,75.36,34.78,20.29,68,3/7/15 10:55,0,0,0,0,0,55.5,55.5,55.5,55.5,55.5,-0.9,-0.65,-0.63,-0.32,-0.8,39.13,39.13,39.13,39.13,39.13,0
45B1BD4E01B2,Stony Brook AAU,326,5152,58,University of Pennsylvania,"Economics, Department of",30,"Economics, General",30.5,0,144,25,27,28.5,5.33,24,1479,20,27,26.5,0.96,27,13,16,22,15,2879310,13,27,17,19,17,11,44.5,8,27.5,10,2.5,7.97,9.01,13.51,0.27,0.04,29.5,59.42,1.375,0.37,-0.71,52,26.09,0.9,0.59,19,75.36,4.8,0.18,22,69.57,0.9,0.76,12,84.06,49.3,0.33,16,78.26,8.55,0.74,17,76.81,0.43,1.09,15,79.71,0.73,0.77,15,79.71,95977,0.71,9,88.41,130877.73,0.31,18,75.36,0.9,0.42,10,86.96,0.63,1.12,11,85.51,19.62,1,13.5,82.61,0,0,0.54,-0.06,0.18,0.6,0.12,0.03,0.41,0.15,-0.55,0.12,0.62,0.54,0.08,0,76.81,65.22,63.77,79.71,60.87,66.67,62.32,76.81,37.68,72.46,82.61,79.71,65.22,57.97,68,3/7/15 10:55,2,2,1,0.07,0.07,13,29.5,20,16,11,0.83,-0.1,0.01,-0.04,0.7,89.86,76.81,79.71,78.26,85.51,0
45B1BD4E01B2,Stony Brook AAU,335,5292,58,University of Southern California,"Finance and Business Economics, Department of",56,"Economics, General",4,0,109,36,28,26.5,3.89,57,1007,28,28,24.5,0.88,60,1,60.5,2,58.5,214606,53,12,29.5,6,41,55,8,14,13.5,10,2.5,7.97,9.01,13.51,0.25,-0.1,36.5,50.72,3.928571429,0.98,0.42,17,76.81,0.5,-3.22,67.5,4.35,1.95,-1.46,67,4.35,0.5,-2.66,67,4.35,17.98,-0.71,55,21.74,7.4,0.32,24,66.67,0.02,-1.2,63,10.14,0.04,-1.07,62,11.59,3832.25,-0.75,59,15.94,107303,0.03,23,68.12,0.21,-0.6,52,26.09,0.11,-0.97,57,18.84,51.67,-1.2,61,14.49,0,0,-0.53,0.94,0.26,-0.85,0.2,-0.78,-0.92,-0.36,1.19,-0.22,-0.68,-0.86,-0.32,1.93,43.48,82.61,66.67,17.39,63.77,18.84,14.49,59.42,89.86,60.87,24.64,20.29,49.28,95.65,68,3/7/15 10:55,5,2,2.5,0.09,0.04,13,6,7,13,30.5,0.83,0.74,0.99,0.05,0,89.86,92.75,92.75,82.61,57.97,0
45B1BD4E01B2,Stony Brook AAU,289,7727,58,"University of Maryland, College Park","Economics, Department of",33,"Economics, General",26,0,141,26,29,24.5,4.86,38,1177,22,28,24.5,0.97,26,7,26,9,33.5,1211305,31,22,22.5,16,19,19,27.5,11,19,10,2.5,7.97,9.01,13.51,0.33,0.59,14,82.61,1.727272727,0.58,-0.33,34,52.17,0.88,0.39,28,60.87,4.27,-0.12,36,49.28,0.85,0.32,30,57.97,35.67,-0.12,28,60.87,7.22,0.26,25,65.22,0.21,-0.13,33,53.62,0.27,-0.44,42.5,40.58,36706.21,-0.23,33,53.62,134589.44,0.35,15,79.71,0.67,0.07,22,69.57,0.48,0.53,20,72.46,27.24,0.5,22,69.57,0,0,0.29,0.44,0.26,-0.13,0.27,-0.24,0.43,-0.02,-0.23,-0.1,-0.19,-0.37,0.05,0.23,75.36,76.81,66.67,66.67,66.67,46.38,63.77,69.57,62.32,69.57,56.52,53.62,63.77,65.22,68,3/7/15 10:55,2,1,2,0.06,0.03,30.5,9.5,20,20,34,-0.04,0.46,0.01,-0.07,-0.12,73.91,91.3,79.71,72.46,53.62,0
45B1BD4E01B2,Stony Brook AAU,316,5099,58,University of North Carolina at Chapel Hill,"Economics, Department of",33,"Economics, General",26,0,234,10,28,26.5,8.36,4,3378,7,25,28,0.89,52,2,52,6,42,2588045,16,6,48.5,5,45,14,36,4,50.5,10,2.5,7.97,9.01,13.51,0.12,-1.17,60,14.49,3.5,0.42,-0.61,49,30.43,0.85,0.1,36,49.28,7.09,1.5,3,97.1,0.76,-0.46,49,30.43,102.36,2.09,4,95.65,12.28,2.12,3,97.1,0.06,-0.96,58,17.39,0.18,-0.68,49,30.43,78425.61,0.43,13,82.61,431340.83,3.86,1,100,0.18,-0.65,53,24.64,0.15,-0.8,51,27.54,32.43,0.1,28,63.77,0,0,-0.61,-0.73,0.02,-0.73,0.2,1.72,-0.65,-0.57,-0.43,1.52,0.47,-0.58,1.13,0.23,39.13,30.43,60.87,33.33,63.77,95.65,26.09,31.88,50.72,91.3,78.26,43.48,86.96,65.22,68,3/7/15 10:55,1,1,1,0.03,0.03,30.5,29.5,34,40.5,34,-0.04,-0.1,-0.31,-0.19,-0.12,73.91,76.81,63.77,43.48,53.62,0
45B1BD4E01B2,Stony Brook AAU,329,5251,58,University of Rochester,"Economics, Department of",20,"Economics, General",50,0,60,57,16,50.5,3.75,60,214,63,15,52,0.94,41,1,60.5,1,62.5,24771,63,11,31.5,5,45,19,27.5,4,50.5,10,2.5,7.97,9.01,13.51,0.2,-0.52,45.5,36.23,4.75,0.95,0.36,18,75.36,0.8,-0.36,49.5,30.43,3,-0.86,58.5,17.39,0.75,-0.52,50.5,28.99,10.7,-0.95,66,5.8,2.89,-1.34,66,5.8,0.05,-1.02,59,15.94,0.05,-1.03,60,14.49,1238.55,-0.79,62,11.59,24771,-0.95,62,11.59,0.55,-0.1,25,65.22,0.25,-0.4,40,44.93,48.67,-1,56,23.19,0,0,-0.61,-0.73,-0.79,-0.85,-0.75,-0.86,0.01,-0.4,-0.23,-0.81,-0.77,-0.93,-0.89,-0.74,39.13,30.43,27.54,17.39,28.99,14.49,43.48,56.52,62.32,10.14,10.14,11.59,18.84,30.43,68,3/7/15 10:55,0,0,0,0,0,55.5,55.5,55.5,55.5,55.5,-0.9,-0.65,-0.63,-0.32,-0.8,39.13,39.13,39.13,39.13,39.13,0
45B1BD4E01B2,Stony Brook AAU,346,3259,58,University of Washington,"Economics, Department of",24,"Economics, General",42,0,82,47,18,46,4.56,46,544,46,16,48.5,0.89,56,1,60.5,2,58.5,131091,58,3,54.5,2,57,11,44.5,5,46,10,2.5,7.97,9.01,13.51,0.21,-0.45,44,37.68,2.2,0.46,-0.54,44,37.68,0.75,-0.84,58,18.84,3.42,-0.62,52,26.09,0.67,-1.23,64,10.14,22.67,-0.55,45,36.23,5.39,-0.42,38,46.38,0.04,-1.07,61,13.04,0.08,-0.94,59,15.94,5462.13,-0.73,57,18.84,65545.5,-0.46,45,36.23,0.13,-0.73,57,18.84,0.08,-1.07,60.5,14.49,52.42,-1.2,61,14.49,0,0,-0.86,-0.56,-0.71,-0.85,-0.59,-0.41,-0.71,-0.67,-0.55,-0.56,-0.72,-0.86,-0.64,-0.44,24.64,37.68,33.33,17.39,37.68,34.78,23.19,24.64,37.68,34.78,17.39,20.29,33.33,42.03,68,3/7/15 10:55,1,1,1,0.04,0.04,30.5,29.5,34,31,22,-0.04,-0.1,-0.31,-0.15,0.14,73.91,76.81,63.77,57.97,71.01,0
45B1BD4E01B2,Stony Brook AAU,34,16000,58,Carnegie Mellon University,"Economics, Department of",49,"Economics, General",5.5,0,196,16,37,14.5,5.3,26,1618,18,36,14,0.92,43.5,11,18,15,23,3258993,9,22,22.5,16,19,17,32,9,23,10,2.5,7.97,9.01,13.51,0.18,-0.65,50,28.99,1.888888889,0.35,-0.75,53,24.64,0.76,-0.79,56,20.29,4,-0.28,40,43.48,0.73,-0.65,54,23.19,33.02,-0.21,31,56.52,6.94,0.15,28,60.87,0.22,-0.06,29,59.42,0.31,-0.35,39,44.93,66510.06,0.24,20,72.46,217266.2,1.33,7,91.3,0.45,-0.25,31,56.52,0.33,-0.1,30,57.97,39.84,-0.4,42.5,42.03,0,0,0.29,0.11,0.91,0.35,0.9,0.01,-0.2,-0.02,-0.31,0.23,0.8,0.05,0.69,1.41,75.36,69.57,81.16,75.36,81.16,63.77,39.13,69.57,56.52,75.36,88.41,71.01,78.26,94.2,68,3/7/15 10:55,12,6,2,0.24,0.12,1,9.5,3,2,3,4.29,0.46,3.25,0.69,1.95,100,91.3,97.1,98.55,97.1,0
45B1BD4E01B2,Stony Brook AAU,51,3938,58,Cornell University,"Economics, Department of",25,"Economics, General",40,0,122,31,23,36,5.3,25,781,38,22,38,0.96,31,6,30,7,38,479757,47,8,41.5,8,33,42,13,8,27.5,10,2.5,7.97,9.01,13.51,0.32,0.48,17,76.81,5.25,1.68,1.69,7,91.3,0.92,0.78,14,81.16,4.88,0.23,21,71.01,0.88,0.58,20,72.46,31.24,-0.27,34,52.17,5.46,-0.39,37,47.83,0.24,0.02,26,63.77,0.28,-0.42,41,42.03,19190.28,-0.51,46,34.78,68536.71,-0.43,41,42.03,0.32,-0.44,40,43.48,0.32,-0.12,31,56.52,25.79,0.6,20,73.91,0,0,-0.37,-0.06,-0.22,-0.25,-0.2,0.01,0.3,-0.5,0.68,-0.39,-0.55,-0.51,-0.17,-0.37,55.07,65.22,47.83,59.42,50.72,65.22,56.52,43.48,84.06,46.38,33.33,47.83,56.52,43.48,68,3/7/15 10:55,4,2,2,0.16,0.08,13,9.5,10,7,8,0.83,0.46,0.66,0.34,1,89.86,91.3,88.41,91.3,89.86,0
45B1BD4E01B2,Stony Brook AAU,82,6194,58,Georgia Institute of Technology,"Economics, School of",17,"Economics, General",57.5,0,61,56,13,58,4.69,42,252,61,14,54.5,1,9,0,66,0,66,0,66,0,67,0,67,3,63.5,2,62,10,2.5,7.97,9.01,13.51,0.12,-1.2,61,13.04,1.5,0.18,-1.06,63,10.14,0.76,-0.7,54,23.19,3.59,-0.52,45,36.23,0.82,0.1,34.5,52.17,14.82,-0.81,60,14.49,3.32,-1.18,64,8.7,0,-1.3,66,8.7,0,-1.16,66,8.7,0,-0.81,66,8.7,0,-1.24,66,8.7,0,-0.92,67,5.8,0,-1.4,67,5.8,57.54,-1.6,67,5.8,0,0,-1.02,-1.06,-0.87,-0.97,-0.98,-0.33,0.94,-0.77,-0.86,-0.78,-0.78,-1,-0.88,-0.96,5.8,14.49,23.19,8.7,18.84,40.58,100,5.8,11.59,13.04,8.7,8.7,20.29,20.29,68,3/7/15 10:55,0,0,0,0,0,55.5,55.5,55.5,55.5,55.5,-0.9,-0.65,-0.63,-0.32,-0.8,39.13,39.13,39.13,39.13,39.13,0
45B1BD4E01B2,Stony Brook AAU,102,6244,58,Johns Hopkins University,"Economics, Department of",23,"Economics, General",45,0,159,19,19,43,8.37,3,921,32.5,17,45.5,0.85,64,3,42.5,4,50,577875,44,10,34.5,7,37,10,47.5,6,38.5,10,2.5,7.97,9.01,13.51,0.26,-0.01,31.5,56.52,1.666666667,0.43,-0.59,45,36.23,0.83,-0.11,41,42.03,6.91,1.4,4,95.65,0.74,-0.62,53,24.64,40.04,0.02,24,66.67,4.8,-0.64,47,33.33,0.13,-0.58,42,40.58,0.17,-0.7,50,28.99,25125,-0.42,43,39.13,144468.75,0.47,13,82.61,0.43,-0.27,32,55.07,0.3,-0.19,32,55.07,33.45,0.1,28,63.77,0,0,-0.45,-0.39,-0.63,-0.61,-0.51,1.73,-1.29,-0.43,-0.59,-0.29,-0.5,-0.72,0.26,-0.52,50.72,52.17,36.23,44.93,39.13,97.1,8.7,53.62,34.78,55.07,37.68,33.33,73.91,37.68,68,3/7/15 10:55,0,0,0,0,0,55.5,55.5,55.5,55.5,55.5,-0.9,-0.65,-0.63,-0.32,-0.8,39.13,39.13,39.13,39.13,39.13,0
